uuid,Skills Power,Health,Max Health,Play Time,Money,Job,Groups,Mobs,Name,money,job,mame,skills_power,max_health,health,groups,play_time,name,online
0fb85cb3-063e-36df-85ca-33ef327362e7,,,,,$100.88," - ",,,propray2022,0.0," - ",propray2022,,,,,,propray2022,no
6ac7fedb-8f62-3dc9-b92a-844f2e1ec35c,,,,,$0," - ",,,7SeVIIeN,0.0," - ",7SeVIIeN,,,,,,7SeVIIeN,no
b39b7d7d-c804-33f4-bc95-4fd8e751b36d,,,,,$118.36," - ",,,arthur21414124,0.0," - ",arthur21414124,,,,,,arthur21414124,no
66718feb-64ec-3172-a8cf-95f9343d8064,,,,,$337.46," - ",,,brendorodr,0.0," - ",brendorodr,,,,,,brendorodr,no
f1782f02-f727-3e2b-ab84-4efb581401b0,,,,,$106.17," - ",,,Julia_Ambrosi,0.0," - ",Julia_Ambrosi,,,,,,Julia_Ambrosi,no
ff36e4d4-c8d5-3e96-b492-459b0c8bc454,,,,,$109.93," - ",,,FelipeBan,0.0," - ",FelipeBan,,,,,,FelipeBan,no
9328b5a0-791e-38d3-83df-9ba4e37ba7ca,,,,,$100," - ",,,crioca,0.0," - ",crioca,,,,,,crioca,no
426f22d7-4b15-322d-a02d-b67e59026f5b,,,,,$464.71," - ",,,zZkingletZz,0.0," - ",zZkingletZz,,,,,,zZkingletZz,no
e591d64d-ed5d-39f2-a971-dc469ed5dfe0,,,,,$28.44," - ",,,muriloowwins,0.0," - ",muriloowwins,,,,,,muriloowwins,no
19b5dd0c-fb3c-3083-bd23-5367f9a93752,,,,,$107.16," - ",,,yD4RKN1NJA,0.0," - ",yD4RKN1NJA,,,,,,yD4RKN1NJA,no
44c7c860-301d-35fd-895d-80fbfe5f67f1,,,,,$476.59," - ",,,EduLauncherbr,0.0," - ",EduLauncherbr,,,,,,EduLauncherbr,no
5a471831-2de1-33fe-ab6b-6681dbab22a6,,,,,$2.01k," - ",,,Zunao,0.0," - ",Zunao,,,,,,Zunao,no
00000000-0000-0000-0009-01f7a88a9dbe,,,,,$313.49," - ",,,Polar5174,0.0," - ",Polar5174,,,,,,Polar5174,no
501c2f3c-4317-3677-a3a4-7ccd4592d42b,,,,,$149.69," - ",,,Carioca,0.0," - ",Carioca,,,,,,Carioca,no
926856b3-e2b8-3209-b08f-2bd757fa065d,,,,,$136," - ",,,danielapolo11,0.0," - ",danielapolo11,,,,,,danielapolo11,no
dc1b8d67-bd35-39c2-89aa-d2043a16c59c,,,,,$0," - ",,,polemiks,0.0," - ",polemiks,,,,,,polemiks,no
f3cf2a6e-2aae-3aa2-a038-0f5f76219d77,,,,,$120.33," - ",,,Inosent_,0.0," - ",Inosent_,,,,,,Inosent_,no
00000000-0000-0000-0009-01f7f40d1c25,,,,,$100," - ",,,yApollo10,0.0," - ",yApollo10,,,,,,yApollo10,no
6d906fc7-2eca-39fd-95cb-6620c91aca4d,,,,,$0," - ",,,Sidao22,0.0," - ",Sidao22,,,,,,Sidao22,no
5b50f973-06fc-3bf7-a8ae-fcb53467eac9,,,,,$161.28," - ",,,alex_f_fernandes,0.0," - ",alex_f_fernandes,,,,,,alex_f_fernandes,no
90ca968c-8521-30c4-8e59-345636d781ed,,,,,$784.77," - ",,,GusBabiski,0.0," - ",GusBabiski,,,,,,GusBabiski,no
00000000-0000-0000-0009-01f19b667b39,,,,,$274.91," - ",,,Pepomaravilhoso,0.0," - ",Pepomaravilhoso,,,,,,Pepomaravilhoso,no
